,0,1,2,3,4
2018-12-16 10:22:00.022,XLM.p,DGB.p,ARDR.p,XMR.p,LSK.p
2018-12-16 10:27:00.021,XLM.p,DGB.p,ARDR.p,XMR.p,LSK.p
2018-12-16 10:32:00.022,XLM.p,DGB.p,ARDR.p,XMR.p,LSK.p
2018-12-16 10:37:00.022,XLM.p,DGB.p,ARDR.p,XMR.p,LSK.p
2018-12-16 10:42:00.021,XLM.p,DGB.p,ARDR.p,XMR.p,LSK.p
2018-12-16 10:47:00.049,XLM.p,DGB.p,ARDR.p,XMR.p,LSK.p
2018-12-16 10:52:00.020,XLM.p,DGB.p,ARDR.p,XMR.p,LSK.p
2018-12-16 10:57:00.022,XLM.p,DGB.p,ARDR.p,XMR.p,LSK.p
2018-12-16 11:02:00.023,XLM.p,DGB.p,ARDR.p,XMR.p,LSK.p
2018-12-16 11:07:00.022,XLM.p,DGB.p,ARDR.p,XMR.p,LSK.p
2018-12-16 11:12:00.022,XLM.p,DGB.p,ARDR.p,XMR.p,LSK.p
2018-12-16 11:17:00.022,XLM.p,DGB.p,ARDR.p,XMR.p,LSK.p
2018-12-16 11:22:00.022,XLM.p,DGB.p,ARDR.p,XMR.p,LSK.p
2018-12-16 11:27:00.022,XLM.p,DGB.p,ARDR.p,XMR.p,LSK.p
2018-12-16 11:32:00.022,XLM.p,DGB.p,ARDR.p,XMR.p,LSK.p
2018-12-16 11:37:00.020,XLM.p,DGB.p,ARDR.p,XMR.p,LSK.p
2018-12-16 11:42:00.021,XLM.p,DGB.p,ARDR.p,XMR.p,LSK.p
2018-12-16 11:47:00.023,XLM.p,DGB.p,ARDR.p,XMR.p,LSK.p
2018-12-16 11:52:00.022,XLM.p,DGB.p,ARDR.p,XMR.p,LSK.p
2018-12-16 11:57:00.019,XLM.p,DGB.p,ARDR.p,XMR.p,LSK.p
2018-12-16 12:02:00.020,XLM.p,DGB.p,ARDR.p,XMR.p,LSK.p
